title,author,first_publish_year,edition_count
Python,Martin C. Brown,2001,3
Python Cookbook,"Alex Martelli, David Ascher, David M. Beazley, Brian K. Jones",2002,7
Python in a Nutshell,"Alex Martelli, Anna Ravenscroft, Steve Holden",2002,8
Pythons' Autobiography by the Pythons,"Monty Python, Graham Chapman, John Cleese, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin, et al, Bob McCabe",2003,18
Python programming,John M. Zelle,2003,2
Core Python programming,Wesley Chun,2006,2
Python for dummies,"Stef Maruch, Aahz Maruch",2006,5
Starting out with Python,Tony Gaddis,2008,4
Think Python,"Allen B. Downey, Allen Downey",2009,11
Head First Python,Paul Barry,2010,9
Beginning Python,James R. Payne,2010,6
Python For Data Analysis,Wes McKinney,2012,8
Data Structures and Algorithms in Python,"Michael T. Goodrich, Roberto Tamassia, Michael H Goldwasser",2012,3
Python for Kids,Jason R. Briggs,2012,4
Black Hat Python,"Justin Seitz, Tim Arnold",2014,3
My Favorite Animal,Victoria Marcos,2014,90
Fluent Python,Luciano Ramalho,2015,6
Automate the Boring Stuff with Python,Al Sweigart,2015,8
Data science from scratch,Joel Grus,2015,4
Python crash course,Eric Matthes,2015,2
Python Playground,Mahesh Venkitachalam,2015,2
Effective Python,Brett Slatkin,2015,8
Python machine learning,Sebastian Raschka,2015,4
Core Python Programming,R. Nageswara Rao,2016,5
Introduction to Machine Learning with Python,"Andreas C. Mueller, Sarah Guido",2016,2
The Hidden Oracle,Rick Riordan,2016,36
Python Data Science Handbook,Jake VanderPlas,2016,2
Python,Byron Francis,2016,1
Python for Everybody,Dr. Charles Russell Severance,2016,1
Python,Joshua Welsh,2017,1
Practical Statistics for Data Scientists: 50 Essential Concepts,"Peter Bruce, Andrew Bruce, Peter Gedeck",2017,2
Deep Learning with Python,Francois Chollet,2017,2
The Burning Maze,Rick Riordan,2018,22
Django for Beginners,William S. Vincent,2018,4
Python,Martin Evans,2018,10
"Python Crash Course, 2nd Edition",Eric Matthes,2019,1
Python Programming,Reema Thareja,2019,2
Python Basics,N/A,2019,1
Let Us Python,Yashavant Kanetkar,2019,2
Python Programming,Sarah Stewart,2019,1
Intro to Python,Programming For Scientists,2020,1
Python Basics,"David Amos, Dan Bader, Joanna Jablonski, Fletcher Heisler",2021,1
Python Distilled,David M. Beazley,2021,3
PYTHON Exercises,Ray Yao,2021,1
Python,Andy Vickler,2021,2
Python for Geeks,Muhammad Asif,2021,2
"Python Crash Course, 3rd Edition",Eric Matthes,2022,1
Data Science,"Tiffany-Anne Timbers, Trevor Campbell, Melissa Lee",2022,6
Garden Planting Weekly,Yoshiko TOLBERT,2022,90
Python Programming Crash Course,Alex Jaxson,2022,1
